2023-03-21 15:47:00.958 [main] INFO  calculator.Calculator - [SQ ROOT] - 3.0
2023-03-21 15:47:00.960 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 1.7320508075688772
2023-03-21 15:47:00.960 [main] INFO  calculator.Calculator - [SQ ROOT] - 4.0
2023-03-21 15:47:00.960 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 2.0
2023-03-21 15:47:00.961 [main] INFO  calculator.Calculator - [NATURAL LOG] - 1.0
2023-03-21 15:47:00.962 [main] INFO  calculator.Calculator - [RESULT - NATURAL LOG] - 0.0
2023-03-21 15:47:00.962 [main] INFO  calculator.Calculator - [NATURAL LOG] - 1.0
2023-03-21 15:47:00.962 [main] INFO  calculator.Calculator - [RESULT - NATURAL LOG] - 0.0
2023-03-21 15:47:00.970 [main] INFO  calculator.Calculator - [POWER - 2.0 RAISED TO] 2.0
2023-03-21 15:47:00.970 [main] INFO  calculator.Calculator - [RESULT - POWER] - 4.0
2023-03-21 15:47:00.971 [main] INFO  calculator.Calculator - [POWER - 2.0 RAISED TO] 3.0
2023-03-21 15:47:00.971 [main] INFO  calculator.Calculator - [RESULT - POWER] - 8.0
2023-03-21 15:47:00.972 [main] INFO  calculator.Calculator - [POWER - 2.0 RAISED TO] 3.0
2023-03-21 15:47:00.972 [main] INFO  calculator.Calculator - [RESULT - POWER] - 8.0
2023-03-21 15:47:00.972 [main] INFO  calculator.Calculator - [POWER - 4.0 RAISED TO] 3.0
2023-03-21 15:47:00.972 [main] INFO  calculator.Calculator - [RESULT - POWER] - 64.0
2023-03-21 15:47:00.973 [main] INFO  calculator.Calculator - [NATURAL LOG] - 2.4
2023-03-21 15:47:00.973 [main] INFO  calculator.Calculator - [RESULT - NATURAL LOG] - 0.8754687373538999
2023-03-21 15:47:00.973 [main] INFO  calculator.Calculator - [NATURAL LOG] - 2.1
2023-03-21 15:47:00.974 [main] INFO  calculator.Calculator - [RESULT - NATURAL LOG] - 0.7419373447293773
2023-03-21 15:47:00.974 [main] INFO  calculator.Calculator - [SQ ROOT] - 4.0
2023-03-21 15:47:00.974 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 2.0
2023-03-21 15:47:00.975 [main] INFO  calculator.Calculator - [SQ ROOT] - 1.0
2023-03-21 15:47:00.975 [main] INFO  calculator.Calculator - [RESULT - SQ ROOT] - 1.0
